"Node1","Node2","Affilation"
"Dr. Rusty Venture","Hank Venture","Team Venture"
"Dr. Rusty Venture","Dean Venture","Team Venture"
"Dr. Rusty Venture","HELPeR","Team Venture"
"Dr. Rusty Venture","Sgt. Hatred","Team Venture"
"Dr. Rusty Venture","Dermot Fictel-Venture","Team Venture"
"Dr. Rusty Venture","Dr. Jonas Venture Jr","Team Venture"
"Dean Venture","Triana Orpheus","Associates"
"Dr. Rusty Venture","Pete White","Associates"
"Dr. Rusty Venture","Master Billy Quizboy","Associates"
"Master Billy Quizboy","Pete White","Associates"
"Dr. Rusty Venture","The Captain","Associates"
"Dr. Jonas Venture Jr","The Captain","Associates"
"Dr. Rusty Venture","Dr. Byron Orpeus","Triad"
"Dr. Byron Orpeus","Jefferson Twilight","Triad"
"Dr. Byron Orpeus","The Alchemist","Triad"
"Dr. Byron Orpeus","Triana Orpheus","Associates"
"Dr. Rusty Venture","Dr. Jonas Venture Sr.","Original Team Venture"
"Dr. Jonas Venture Jr","Dr. Jonas Venture Sr.","Original Team Venture"
"Dr. Jonas Venture Sr.","The Action Man","Original Team Venture"
"Dr. Jonas Venture Sr.","Colonel Gentleman","Original Team Venture"
"Dr. Jonas Venture Sr.","Kano","Original Team Venture"
"Dr. Jonas Venture Sr.","Otto Aquarius","Original Team Venture"
"Dr. Jonas Venture Sr.","Dr. Entmann","Original Team Venture"
"Dr. Rusty Venture","Brock Samson","OSI"
"Brock Samson","Gen. Triester","OSI"
"Brock Samson","Gen. Hunter Gathers","OSI"
"Brock Samson","Shore Leave","OSI"
"Shore Leave","Mile High","OSI"
"Brock Samson","Mile High","OSI"
"Dr. Rusty Venture","The Monarch","TGCI"
"The Monarch","21","TGCI"
"21","24","TGCI"
"The Monarch","24","TGCI"
"The Monarch","Dr. Mrs. The Monarch","TGCI"
"Dr. Mrs. The Monarch","Tim-Tom","TGCI"
"Dr. Mrs. The Monarch","Kevin","TGCI"
"The Monarch","Dr. Henry Killinger","TGCI"
"The Monarch","The Soverign","TGCI"
"The Soverign","Iggy Pop","TGCI"
"The Soverign","Klaus Nomi","TGCI"
"The Monarch","Monstroso","TGCI"
"The Monarch","The Investors","TGCI"
"Dr. Jonas Venture Sr.","Col. Venture","The Guild"
"Col. Venture","Eugen Sandow","The Guild"
"Col. Venture","Aleister Crowley","The Guild"
"Col. Venture","Fantomas","The Guild"
"Col. Venture","Oscar Wilde","The Guild"
"Col. Venture","Samuel Clemons","The Guild"
"Dr. Rusty Venture","Phantom Limb","Revenge Society"
"Dr. Mrs. The Monarch","Phantom Limb","TGCI"
"The Monarch","Phantom Limb","TGCI"
"Phantom Limb","Professor Impossible","Revenge Society"
"Phantom Limb","Baron Underbhiet","Revenge Society"
"Baron Underbhiet","Manservant","Revenge Society"
"Phantom Limb","Fat Chance","Revenge Society"
"Phantom Limb","Zero","Revenge Society"
"Brock Samson","Molotov Cocktease","Other"
"Dr. Byron Orpeus","The Master","Other"
"Professor Impossible","Sally Impossible","The Impossibles"
"Dr. Jonas Venture Jr","Sally Impossible","The Impossibles"
"Sally Impossible","Cody","The Impossibles"
"Sally Impossible","Ned","The Impossibles"
"Cody","Ned","The Impossibles"
"Dr. Rusty Venture","Action Johnny","Johnny Quest"
"Action Johnny","Race Bannon","Johnny Quest"
"Brock Samson","Race Bannon","Johnny Quest"
"Action Johnny","Hadji Singh","Johnny Quest"
"Action Johnny","Dr. Z","Johnny Quest"
"Action Johnny","Mrs. Z","Johnny Quest"
